subject,idna_subject,expiration_date,epoch,registrar
123stat.com,123stat.com,19-aug-2024,1724025600.0,
123stat.com,123stat.com,19-aug-2024,1724025600.0,
5thavenue.com,5thavenue.com,06-may-2028,1841184000.0,
5thavenue.com,5thavenue.com,06-may-2028,1841184000.0,
888.com,888.com,14-feb-2023,1676332800.0,
888.com,888.com,14-feb-2023,1676332800.0,
888casino.com,888casino.com,28-jun-2023,1687910400.0,
888casino.com,888casino.com,28-jun-2023,1687910400.0,
888poker.com,888poker.com,08-oct-2023,1696723200.0,
888poker.com,888poker.com,08-oct-2023,1696723200.0,
961.com,961.com,13-may-2023,1683936000.0,
961.com,961.com,13-may-2023,1683936000.0,
abetterinternet.com,abetterinternet.com,14-aug-2024,1723593600.0,
abetterinternet.com,abetterinternet.com,14-aug-2024,1723593600.0,
acglgoa.com,acglgoa.com,18-oct-2028,1855440000.0,
acglgoa.com,acglgoa.com,18-oct-2028,1855440000.0,
adadvisor.net,adadvisor.net,08-apr-2024,1712534400.0,
adadvisor.net,adadvisor.net,08-apr-2024,1712534400.0,
adform.com,adform.com,16-jul-2023,1689465600.0,
adform.com,adform.com,16-jul-2023,1689465600.0,
adhese.com,adhese.com,04-apr-2025,1743724800.0,
adhese.com,adhese.com,04-apr-2025,1743724800.0,
adjug.com,adjug.com,14-aug-2024,1723593600.0,
adjug.com,adjug.com,14-aug-2024,1723593600.0,
admedia.com,admedia.com,27-apr-2029,1871942400.0,
admedia.com,admedia.com,27-apr-2029,1871942400.0,
adstogo.com,adstogo.com,11-dec-2024,1733875200.0,
adstogo.com,adstogo.com,11-dec-2024,1733875200.0,
advertise.com,advertise.com,26-oct-2026,1792972800.0,
advertise.com,advertise.com,26-oct-2026,1792972800.0,
alexxe.com,alexxe.com,02-jan-2027,1798848000.0,
alexxe.com,alexxe.com,02-jan-2027,1798848000.0,
amazon-adsystem.com,amazon-adsystem.com,16-sep-2024,1726444800.0,
amazon-adsystem.com,amazon-adsystem.com,16-sep-2024,1726444800.0,
anatol.com,anatol.com,09-jul-2025,1752019200.0,
anatol.com,anatol.com,09-jul-2025,1752019200.0,
assoc-amazon.com,assoc-amazon.com,16-jul-2024,1721088000.0,
assoc-amazon.com,assoc-amazon.com,16-jul-2024,1721088000.0,
bannerbackup.com,bannerbackup.com,22-feb-2024,1708560000.0,
bannerbackup.com,bannerbackup.com,22-feb-2024,1708560000.0,
bet-at-home.com,bet-at-home.com,04-oct-2028,1854230400.0,
bet-at-home.com,bet-at-home.com,04-oct-2028,1854230400.0,
bet365.com,bet365.com,04-aug-2025,1754265600.0,
bet365.com,bet365.com,04-aug-2025,1754265600.0,
bongacams.com,bongacams.com,25-jan-2024,1706140800.0,
bongacams.com,bongacams.com,25-jan-2024,1706140800.0,
cahoots.com,cahoots.com,23-nov-2024,1732320000.0,
cahoots.com,cahoots.com,23-nov-2024,1732320000.0,
casalemedia.com,casalemedia.com,19-oct-2023,1697673600.0,
casalemedia.com,casalemedia.com,19-oct-2023,1697673600.0,
cashcounter.com,cashcounter.com,17-jan-2024,1705449600.0,
cashcounter.com,cashcounter.com,17-jan-2024,1705449600.0,
classicjack.com,classicjack.com,17-jul-2024,1721174400.0,
classicjack.com,classicjack.com,17-jul-2024,1721174400.0,
clickmeter.com,clickmeter.com,17-jul-2027,1815782400.0,
clickmeter.com,clickmeter.com,17-jul-2027,1815782400.0,
clickthruserver.com,clickthruserver.com,12-jun-2024,1718150400.0,
clickthruserver.com,clickthruserver.com,12-jun-2024,1718150400.0,
clicktripz.com,clicktripz.com,08-feb-2023,1675814400.0,
clicktripz.com,clicktripz.com,08-feb-2023,1675814400.0,
conduit.com,conduit.com,21-apr-2029,1871424000.0,
conduit.com,conduit.com,21-apr-2029,1871424000.0,
connexity.net,connexity.net,06-jan-2024,1704499200.0,
connexity.net,connexity.net,06-jan-2024,1704499200.0,
contextweb.com,contextweb.com,16-mar-2023,1678924800.0,
contextweb.com,contextweb.com,16-mar-2023,1678924800.0,
convertro.com,convertro.com,09-feb-2024,1707436800.0,
convertro.com,convertro.com,09-feb-2024,1707436800.0,
cuntwars.com,cuntwars.com,28-feb-2024,1709078400.0,
cuntwars.com,cuntwars.com,28-feb-2024,1709078400.0,
dgit.com,dgit.com,16-may-2024,1715817600.0,
dgit.com,dgit.com,16-may-2024,1715817600.0,
didtheyreadit.com,didtheyreadit.com,10-sep-2025,1757462400.0,
didtheyreadit.com,didtheyreadit.com,10-sep-2025,1757462400.0,
digimedia.com,digimedia.com,30-jul-2024,1722297600.0,
digimedia.com,digimedia.com,30-jul-2024,1722297600.0,
eyewonder.com,eyewonder.com,23-dec-2024,1734912000.0,
eyewonder.com,eyewonder.com,23-dec-2024,1734912000.0,
feedjit.com,feedjit.com,06-oct-2023,1696550400.0,
feedjit.com,feedjit.com,06-oct-2023,1696550400.0,
flu23.com,flu23.com,18-feb-2026,1771372800.0,
flu23.com,flu23.com,18-feb-2026,1771372800.0,
getmyads.com,getmyads.com,04-dec-2025,1764806400.0,
getmyads.com,getmyads.com,04-dec-2025,1764806400.0,
inklineglobal.com,inklineglobal.com,03-feb-2023,1675382400.0,
inklineglobal.com,inklineglobal.com,03-feb-2023,1675382400.0,
iuqerfsodp9ifjaposdfjhgosurijfaewrwergwea.com,iuqerfsodp9ifjaposdfjhgosurijfaewrwergwea.com,12-may-2024,1715472000.0,
iuqerfsodp9ifjaposdfjhgosurijfaewrwergwea.com,iuqerfsodp9ifjaposdfjhgosurijfaewrwergwea.com,12-may-2024,1715472000.0,
kissmetrics.com,kissmetrics.com,28-sep-2027,1822089600.0,
kissmetrics.com,kissmetrics.com,28-sep-2027,1822089600.0,
kontera.com,kontera.com,23-oct-2025,1761177600.0,
kontera.com,kontera.com,23-oct-2025,1761177600.0,
loboclick.com,loboclick.com,12-dec-2024,1733961600.0,
loboclick.com,loboclick.com,12-dec-2024,1733961600.0,
lockerdome.com,lockerdome.com,10-sep-2024,1725926400.0,
lockerdome.com,lockerdome.com,10-sep-2024,1725926400.0,
marketaff.com,marketaff.com,15-aug-2024,1723680000.0,
marketaff.com,marketaff.com,15-aug-2024,1723680000.0,
miercuri.gq,miercuri.gq,24-jan-2026,1769212800.0,
miercuri.gq,miercuri.gq,24-jan-2026,1769212800.0,
ml314.com,ml314.com,22-apr-2027,1808352000.0,
ml314.com,ml314.com,22-apr-2027,1808352000.0,
mysagagame.com,mysagagame.com,21-feb-2023,1676937600.0,
mysagagame.com,mysagagame.com,21-feb-2023,1676937600.0,
nextgenstats.com,nextgenstats.com,20-sep-2027,1821398400.0,
nextgenstats.com,nextgenstats.com,20-sep-2027,1821398400.0,
outbrain.com,outbrain.com,09-aug-2023,1691539200.0,
outbrain.com,outbrain.com,09-aug-2023,1691539200.0,
partycasino.com,partycasino.com,27-apr-2024,1714176000.0,
partycasino.com,partycasino.com,27-apr-2024,1714176000.0,
perfectgirls.net,perfectgirls.net,19-sep-2027,1821312000.0,
perfectgirls.net,perfectgirls.net,19-sep-2027,1821312000.0,
popupdomination.com,popupdomination.com,08-jul-2023,1688774400.0,
popupdomination.com,popupdomination.com,08-jul-2023,1688774400.0,
shafou.com,shafou.com,05-nov-2025,1762300800.0,
shafou.com,shafou.com,05-nov-2025,1762300800.0,
shockgore.com,shockgore.com,09-may-2023,1683590400.0,
shockgore.com,shockgore.com,09-may-2023,1683590400.0,
simpli.fi,simpli.fi,15-mar-2024,1710460800.0,
simpli.fi,simpli.fi,15-mar-2024,1710460800.0,
siteimproveanalytics.com,siteimproveanalytics.com,26-feb-2024,1708905600.0,
siteimproveanalytics.com,siteimproveanalytics.com,26-feb-2024,1708905600.0,
smutstone.com,smutstone.com,22-aug-2023,1692662400.0,
smutstone.com,smutstone.com,22-aug-2023,1692662400.0,
spotxchange.com,spotxchange.com,08-jun-2024,1717804800.0,
spotxchange.com,spotxchange.com,08-jun-2024,1717804800.0,
systweak.com,systweak.com,28-sep-2025,1759017600.0,
systweak.com,systweak.com,28-sep-2025,1759017600.0,
tradedoubler.com,tradedoubler.com,10-oct-2023,1696896000.0,
tradedoubler.com,tradedoubler.com,10-oct-2023,1696896000.0,
tradetracker.net,tradetracker.net,21-dec-2025,1766275200.0,
tradetracker.net,tradetracker.net,21-dec-2025,1766275200.0,
traktum.com,traktum.com,18-jan-2028,1831766400.0,
traktum.com,traktum.com,18-jan-2028,1831766400.0,
tsyndicate.com,tsyndicate.com,28-may-2028,1843084800.0,
tsyndicate.com,tsyndicate.com,28-may-2028,1843084800.0,
turn.com,turn.com,01-apr-2024,1711929600.0,
turn.com,turn.com,01-apr-2024,1711929600.0,
v2profit.com,v2profit.com,17-jul-2023,1689552000.0,
v2profit.com,v2profit.com,17-jul-2023,1689552000.0,
visualwebsiteoptimizer.com,visualwebsiteoptimizer.com,13-nov-2023,1699833600.0,
visualwebsiteoptimizer.com,visualwebsiteoptimizer.com,13-nov-2023,1699833600.0,
voluumtrk.com,voluumtrk.com,06-aug-2024,1722902400.0,
voluumtrk.com,voluumtrk.com,06-aug-2024,1722902400.0,
voluumtrk3.com,voluumtrk3.com,29-apr-2025,1745884800.0,
voluumtrk3.com,voluumtrk3.com,29-apr-2025,1745884800.0,
yotube.com,yotube.com,14-aug-2026,1786665600.0,
yotube.com,yotube.com,14-aug-2026,1786665600.0,
zeroredirect2.com,zeroredirect2.com,15-feb-2024,1707955200.0,
zeroredirect2.com,zeroredirect2.com,15-feb-2024,1707955200.0,
1priest1nun.net,1priest1nun.net,16-may-2023,1684195200.0,
1priest1nun.net,1priest1nun.net,16-may-2023,1684195200.0,
2girls1cup.cc,2girls1cup.cc,18-oct-2023,1697587200.0,
2girls1cup.cc,2girls1cup.cc,18-oct-2023,1697587200.0,
32red.it,32red.it,27-oct-2023,1698364800.0,
32red.it,32red.it,27-oct-2023,1698364800.0,
7x.cc,7x.cc,02-mar-2024,1709337600.0,
7x.cc,7x.cc,02-mar-2024,1709337600.0,
7zip.fr,7zip.fr,03-jan-2024,1704240000.0,
7zip.fr,7zip.fr,03-jan-2024,1704240000.0,
aaa-arcobaleno.it,aaa-arcobaleno.it,07-oct-2023,1696636800.0,
aaa-arcobaleno.it,aaa-arcobaleno.it,07-oct-2023,1696636800.0,
aarth.net,aarth.net,08-apr-2023,1680912000.0,
aarth.net,aarth.net,08-apr-2023,1680912000.0,
abruzzoinitaly.co.uk,abruzzoinitaly.co.uk,08-jan-2024,1704672000.0,
abruzzoinitaly.co.uk,abruzzoinitaly.co.uk,08-jan-2024,1704672000.0,
academy-internet.net,academy-internet.net,25-may-2023,1684972800.0,
academy-internet.net,academy-internet.net,25-may-2023,1684972800.0,
actu24.online,actu24.online,06-may-2023,1683331200.0,
actu24.online,actu24.online,06-may-2023,1683331200.0,
ad-srv.net,ad-srv.net,24-jan-2024,1706054400.0,
ad-srv.net,ad-srv.net,24-jan-2024,1706054400.0,
ad-vice.biz,ad-vice.biz,28-feb-2024,1709078400.0,
ad-vice.biz,ad-vice.biz,28-feb-2024,1709078400.0,
ad.net,ad.net,08-mar-2023,1678233600.0,
ad.net,ad.net,08-mar-2023,1678233600.0,
ad20.net,ad20.net,01-mar-2024,1709251200.0,
ad20.net,ad20.net,01-mar-2024,1709251200.0,
ad6media.fr,ad6media.fr,20-apr-2023,1681948800.0,
ad6media.fr,ad6media.fr,20-apr-2023,1681948800.0,
adaos-ads.net,adaos-ads.net,08-sep-2023,1694131200.0,
adaos-ads.net,adaos-ads.net,08-sep-2023,1694131200.0,
adbit.co,adbit.co,20-mar-2023,1679270400.0,
adbit.co,adbit.co,20-mar-2023,1679270400.0,
adblock.fr,adblock.fr,03-jan-2024,1704240000.0,
adblock.fr,adblock.fr,03-jan-2024,1704240000.0,
addstock.co.uk,addstock.co.uk,07-apr-2023,1680825600.0,
addstock.co.uk,addstock.co.uk,07-apr-2023,1680825600.0,
adexprt.me,adexprt.me,23-jan-2024,1705968000.0,
adexprt.me,adexprt.me,23-jan-2024,1705968000.0,
adhref.pl,adhref.pl,22-nov-2023,1700611200.0,
adhref.pl,adhref.pl,22-nov-2023,1700611200.0,
adjuggler.net,adjuggler.net,29-mar-2023,1680048000.0,
adjuggler.net,adjuggler.net,29-mar-2023,1680048000.0,
ads.dk,ads.dk,30-jun-2023,1688083200.0,
ads.dk,ads.dk,30-jun-2023,1688083200.0,
ads.gold,ads.gold,30-apr-2024,1714435200.0,
ads.gold,ads.gold,30-apr-2024,1714435200.0,
ads24.net,ads24.net,04-jan-2024,1704326400.0,
ads24.net,ads24.net,04-jan-2024,1704326400.0,
ads2ads.net,ads2ads.net,03-may-2023,1683072000.0,
ads2ads.net,ads2ads.net,03-may-2023,1683072000.0,
adserver.ro,adserver.ro,03-nov-2023,1698969600.0,
adserver.ro,adserver.ro,03-nov-2023,1698969600.0,
adspirit.net,adspirit.net,09-sep-2023,1694217600.0,
adspirit.net,adspirit.net,09-sep-2023,1694217600.0,
adsrv.me,adsrv.me,20-feb-2024,1708387200.0,
adsrv.me,adsrv.me,20-feb-2024,1708387200.0,
adsspace.net,adsspace.net,11-nov-2023,1699660800.0,
adsspace.net,adsspace.net,11-nov-2023,1699660800.0,
adsupplyads.net,adsupplyads.net,25-jun-2024,1719273600.0,
adsupplyads.net,adsupplyads.net,25-jun-2024,1719273600.0,
adzone.ro,adzone.ro,10-oct-2023,1696896000.0,
adzone.ro,adzone.ro,10-oct-2023,1696896000.0,
afform.co.uk,afform.co.uk,04-jun-2023,1685836800.0,
afform.co.uk,afform.co.uk,04-jun-2023,1685836800.0,
agilityprocessing.net,agilityprocessing.net,10-oct-2023,1696896000.0,
agilityprocessing.net,agilityprocessing.net,10-oct-2023,1696896000.0,
agt.net,agt.net,20-apr-2023,1681948800.0,
agt.net,agt.net,20-apr-2023,1681948800.0,
ako.cc,ako.cc,27-mar-2023,1679875200.0,
ako.cc,ako.cc,27-mar-2023,1679875200.0,
ale-gratka.pl,ale-gratka.pl,27-jan-2024,1706313600.0,
ale-gratka.pl,ale-gratka.pl,27-jan-2024,1706313600.0,
amobil.online,amobil.online,02-jun-2023,1685664000.0,
amobil.online,amobil.online,02-jun-2023,1685664000.0,
aporasal.net,aporasal.net,20-jan-2024,1705708800.0,
aporasal.net,aporasal.net,20-jan-2024,1705708800.0,
apps-cloud.xyz,apps-cloud.xyz,26-mar-2023,1679788800.0,
apps-cloud.xyz,apps-cloud.xyz,26-mar-2023,1679788800.0,
askto.net,askto.net,30-sep-2023,1696032000.0,
askto.net,askto.net,30-sep-2023,1696032000.0,
assostudiosrl.it,assostudiosrl.it,25-jul-2023,1690243200.0,
assostudiosrl.it,assostudiosrl.it,25-jul-2023,1690243200.0,
audacity.fr,audacity.fr,17-oct-2023,1697500800.0,
audacity.fr,audacity.fr,17-oct-2023,1697500800.0,
audacity.pl,audacity.pl,21-mar-2023,1679356800.0,
audacity.pl,audacity.pl,21-mar-2023,1679356800.0,
audicat.net,audicat.net,17-jan-2024,1705449600.0,
audicat.net,audicat.net,17-jan-2024,1705449600.0,
baskidunyasi.net,baskidunyasi.net,03-mar-2024,1709424000.0,
baskidunyasi.net,baskidunyasi.net,03-mar-2024,1709424000.0,
bestfoods.co,bestfoods.co,16-nov-2023,1700092800.0,
bestfoods.co,bestfoods.co,16-nov-2023,1700092800.0,
bestgore.fun,bestgore.fun,03-dec-2023,1701561600.0,
bestgore.fun,bestgore.fun,03-dec-2023,1701561600.0,
bestreview.site,bestreview.site,08-jul-2023,1688774400.0,
bestreview.site,bestreview.site,08-jul-2023,1688774400.0,
bestwatersystems.net,bestwatersystems.net,29-sep-2023,1695945600.0,
bestwatersystems.net,bestwatersystems.net,29-sep-2023,1695945600.0,
bighow.net,bighow.net,20-mar-2023,1679270400.0,
bighow.net,bighow.net,20-mar-2023,1679270400.0,
bitcoadz.io,bitcoadz.io,09-aug-2026,1786233600.0,
bitcoadz.io,bitcoadz.io,09-aug-2026,1786233600.0,
bitmedia.io,bitmedia.io,13-jun-2024,1718236800.0,
bitmedia.io,bitmedia.io,13-jun-2024,1718236800.0,
blackqpid.org.uk,blackqpid.org.uk,11-sep-2023,1694390400.0,
blackqpid.org.uk,blackqpid.org.uk,11-sep-2023,1694390400.0,
blender3d.fr,blender3d.fr,03-jan-2024,1704240000.0,
blender3d.fr,blender3d.fr,03-jan-2024,1704240000.0,
bluewaffle.biz,bluewaffle.biz,28-nov-2023,1701129600.0,
bluewaffle.biz,bluewaffle.biz,28-nov-2023,1701129600.0,
bobcard.co.in,bobcard.co.in,21-jun-2027,1813536000.0,
bobcard.co.in,bobcard.co.in,21-jun-2027,1813536000.0,
bookpdf.services,bookpdf.services,01-dec-2024,1733011200.0,
bookpdf.services,bookpdf.services,01-dec-2024,1733011200.0,
boroskola.info,boroskola.info,03-apr-2023,1680480000.0,
boroskola.info,boroskola.info,03-apr-2023,1680480000.0,
breaking-news.co,breaking-news.co,07-mar-2023,1678147200.0,
breaking-news.co,breaking-news.co,07-mar-2023,1678147200.0,
browser-tools.systems,browser-tools.systems,20-aug-2023,1692489600.0,
browser-tools.systems,browser-tools.systems,20-aug-2023,1692489600.0,
bulksender.info,bulksender.info,18-sep-2023,1694995200.0,
bulksender.info,bulksender.info,18-sep-2023,1694995200.0,
bullgame.net,bullgame.net,12-mar-2023,1678579200.0,
bullgame.net,bullgame.net,12-mar-2023,1678579200.0,
cablegirls.net,cablegirls.net,14-oct-2023,1697241600.0,
cablegirls.net,cablegirls.net,14-oct-2023,1697241600.0,
carmuffler.net,carmuffler.net,17-apr-2023,1681689600.0,
carmuffler.net,carmuffler.net,17-apr-2023,1681689600.0,
carnegienet.net,carnegienet.net,10-apr-2028,1838937600.0,
carnegienet.net,carnegienet.net,10-apr-2028,1838937600.0,
cashback.co.uk,cashback.co.uk,17-jun-2023,1686960000.0,
cashback.co.uk,cashback.co.uk,17-jun-2023,1686960000.0,
cbango.com.ar,cbango.com.ar,08-sep-2023,1694131200.0,
cbango.com.ar,cbango.com.ar,08-sep-2023,1694131200.0,
ccleaner.fr,ccleaner.fr,03-jan-2024,1704240000.0,
ccleaner.fr,ccleaner.fr,03-jan-2024,1704240000.0,
cdbs.com.tr,cdbs.com.tr,25-nov-2023,1700870400.0,
cdbs.com.tr,cdbs.com.tr,25-nov-2023,1700870400.0,
celestia.fr,celestia.fr,03-jan-2024,1704240000.0,
celestia.fr,celestia.fr,03-jan-2024,1704240000.0,
certifiedwinners.today,certifiedwinners.today,30-sep-2023,1696032000.0,
certifiedwinners.today,certifiedwinners.today,30-sep-2023,1696032000.0,
checkout360now.net,checkout360now.net,26-aug-2023,1693008000.0,
checkout360now.net,checkout360now.net,26-aug-2023,1693008000.0,
cicontents.biz,cicontents.biz,01-may-2023,1682899200.0,
cicontents.biz,cicontents.biz,01-may-2023,1682899200.0,
citlink.net,citlink.net,02-feb-2023,1675296000.0,
citlink.net,citlink.net,02-feb-2023,1675296000.0,
civilhir.net,civilhir.net,10-aug-2023,1691625600.0,
civilhir.net,civilhir.net,10-aug-2023,1691625600.0,
cleanchain.net,cleanchain.net,13-jul-2023,1689206400.0,
cleanchain.net,cleanchain.net,13-jul-2023,1689206400.0,
clickauditor.net,clickauditor.net,31-mar-2023,1680220800.0,
clickauditor.net,clickauditor.net,31-mar-2023,1680220800.0,
clickthru.net,clickthru.net,13-apr-2023,1681344000.0,
clickthru.net,clickthru.net,13-apr-2023,1681344000.0,
clonezilla.fr,clonezilla.fr,03-jan-2024,1704240000.0,
clonezilla.fr,clonezilla.fr,03-jan-2024,1704240000.0,
cloudads.net,cloudads.net,01-mar-2023,1677628800.0,
cloudads.net,cloudads.net,01-mar-2023,1677628800.0,
clubloading.net,clubloading.net,27-mar-2023,1679875200.0,
clubloading.net,clubloading.net,27-mar-2023,1679875200.0,
collegiogeometri.it,collegiogeometri.it,08-apr-2023,1680912000.0,
collegiogeometri.it,collegiogeometri.it,08-apr-2023,1680912000.0,
comfortykive.xyz,comfortykive.xyz,13-may-2023,1683936000.0,
comfortykive.xyz,comfortykive.xyz,13-may-2023,1683936000.0,
compolice.net,compolice.net,11-nov-2024,1731283200.0,
compolice.net,compolice.net,11-nov-2024,1731283200.0,
